datetime,BTC current_weight,BTC target_weight,delta_weight,portfolio_value,price,target_qty
2025-12-18,0.0,0.0,0.0,997752.4118173539,86191.9,0.0
2025-12-19,0.0,0.0,0.0,1072592.3527817547,85572.9,0.0
2025-12-20,0.0,0.0,0.0,1089530.2276704619,87967.3,0.0
2025-12-21,0.0,0.0,0.0,1032094.8151514895,88354.8,0.0
2025-12-22,0.0,0.0,0.0,1046875.1062840445,88581.7,0.0
2025-12-23,0.0,0.0,0.0,1010588.7501553363,88731.5,0.0
2025-12-24,0.0,0.0,0.0,1014711.2389628392,87626.1,0.0
2025-12-25,0.0,0.0,0.0,993877.2186873561,87529.9,0.0
2025-12-26,0.0,0.0,0.0,969680.1588948253,87084.5,0.0
2025-12-27,0.0,0.0,0.0,970938.3276878623,87360.0,0.0
2025-12-28,0.0,0.0,0.0,977902.7703069473,87811.7,0.0
