datetime,mean,std,skew,median,p01,p99
2025-01-01 11:00:00,21636194.201495364,48031275.31751027,3.085041228481126,4225868.538361612,531962.864464917,176938686.1335762
2025-01-01 12:00:00,21482853.776734255,46660487.03094921,3.0702450811498228,4058122.3240644517,550090.6700318204,172212878.9305203
2025-01-01 13:00:00,21526862.033212423,44909804.88564917,2.9968450442780794,3899588.9434860186,651085.8239060678,165523073.82304606
2025-01-01 14:00:00,24364068.81822608,54358798.62414953,3.2755561475015513,3769401.47779256,686471.8246275574,203411156.92878425
2025-01-01 15:00:00,24398686.071135275,52872435.75018035,3.187728321001927,3649581.367604894,669572.7971184076,196950083.69817975
2025-01-01 16:00:00,26838782.84186467,52609497.37325748,2.832188190578656,3636918.421780855,839116.5455846821,190771774.1241653
2025-01-01 17:00:00,26787358.92228195,51653185.540650696,2.750345748631722,3677509.658073643,900411.0451010406,185536086.33359605
2025-01-01 18:00:00,27321309.863815736,51420949.37488138,2.6463398047480298,4032310.12691044,1144250.9365446002,183349131.8052613
2025-01-01 19:00:00,28133917.366012685,50704025.66626582,2.5642423740792806,4598834.086720111,1385555.5547725637,180829066.55031067
2025-01-01 20:00:00,27839546.853946496,49667141.88462254,2.566555792137427,4950848.122069159,1454540.6218639815,177484501.90418065
2025-01-01 21:00:00,27449171.822018635,48800728.60425432,2.578528446275956,4961903.771421251,1504204.980545447,174761106.17166248
2025-01-01 22:00:00,26979118.404736914,47997651.066881664,2.594698295790189,4848911.999927726,1471827.5621592274,172196829.28941333
2025-01-01 23:00:00,26488897.06300678,47082382.80645022,2.5936795268989337,4768066.576785475,1450310.5137898698,168873607.41059536
2025-01-02 00:00:00,34183481.999072134,56804036.81723052,2.3398699796491313,5683721.507288794,1656591.4145408198,200621798.77866632
2025-01-02 01:00:00,34483799.085907295,57707283.21143587,2.3901257383648447,5605298.60870042,1660388.4511323934,204835609.44510865
2025-01-02 02:00:00,34151370.747975476,56948291.72676224,2.384715517440851,5599050.35381097,1641126.4318087816,202008867.38431364
2025-01-02 03:00:00,33658565.121036746,56203936.70677386,2.402539484035805,5545658.001357988,1647501.122782376,199670578.07438663
2025-01-02 04:00:00,36210716.39048129,60562157.00653304,2.4505202564985105,5485050.9621874755,1619370.6370927836,215881848.37319213
2025-01-02 05:00:00,35861291.518971704,59809051.54737674,2.4327970086945085,5338738.173350077,1596263.9418297517,212857469.01546606
2025-01-02 06:00:00,35411295.333099395,59047948.6672627,2.428090332208442,5160693.502063322,1577904.947186711,210112404.08820888
2025-01-02 07:00:00,34484201.374520555,56878433.61225545,2.380887048118565,5019823.500725525,1567050.6237566483,201628160.8668473
2025-01-02 08:00:00,34332195.45264735,56931930.448622175,2.3992699115928726,4921584.722339675,1575102.3285851309,202273805.47616857
2025-01-02 09:00:00,34294662.47874874,56705865.92356332,2.4221970934792934,5297920.969367854,1610536.8920810819,202089162.13129652
2025-01-02 10:00:00,34247655.66124197,56357764.63845582,2.395605857570936,5589608.323178314,1601923.5688524575,200801849.89970124
2025-01-02 11:00:00,34175016.993403174,56090615.91040366,2.3854875146519037,5507625.217768919,1610637.3404992414,199696741.02301186
2025-01-02 12:00:00,34230765.02167321,56027599.19950724,2.3896172785244434,5386579.068283236,1663635.189719744,199563218.96453846
2025-01-02 13:00:00,34995209.991794534,57233991.330332376,2.3125837604429362,5322307.354624928,1668344.0026802553,202515135.9911718
2025-01-02 14:00:00,55115122.16172319,114789603.57516085,3.085901129168833,5941210.199977364,1800166.9952208134,426669254.31660503
2025-01-02 15:00:00,56968614.49394379,120989377.04084477,3.154471881576417,5878512.860264398,1794951.621636722,451056506.6055076
2025-01-02 16:00:00,58696818.552017614,130057504.084955,3.3095320236370163,5879283.527785471,1806135.1341989776,487790431.70221883
2025-01-02 17:00:00,58867726.08832648,131310774.40646574,3.318490184641173,5966995.592961808,1811432.5464376954,492480583.6030555
2025-01-02 18:00:00,57982644.903170094,129229725.11319704,3.320620599832769,6098137.471224395,1777102.3167359976,484839583.7167767
2025-01-02 19:00:00,57599953.39671761,128874240.87209542,3.315816482466688,6126105.052117453,1689153.9331396061,483144754.62456703
2025-01-02 20:00:00,57072367.77840301,127039998.4310677,3.2921374026294274,5968747.5084443325,1633704.9143018317,475798628.7816257
2025-01-02 21:00:00,57608153.98290575,128081897.58465101,3.2934473998433695,6139773.015382083,1495120.451064342,479744477.0267831
2025-01-02 22:00:00,57393621.77288244,127169286.02055489,3.2884430547045085,6136862.514556858,1513029.573187519,476291297.7554692
2025-01-02 23:00:00,57581496.85839015,127459965.45633665,3.2901820583674772,6330514.14281814,1527515.878730728,477444596.6849886
2025-01-03 00:00:00,52851284.06945337,128668096.3161036,3.4142087877108014,5903923.561227514,1157299.301893786,481540530.91535085
2025-01-03 01:00:00,52948459.437872685,130030327.71474642,3.429629179992641,5916309.982981901,1147956.8144486551,486645734.30344045
2025-01-03 02:00:00,53130006.84751537,129951098.8474626,3.4351612703355467,5793250.053422737,1149405.4843257573,486653360.11855245
2025-01-03 03:00:00,53354387.63794722,130587324.6821628,3.448820776375832,5720727.387451015,1141245.416832399,489364864.4782301
2025-01-03 04:00:00,53554058.66125597,132088362.15001686,3.463623716720345,5815233.104761344,1141563.657255928,495136027.4759498
2025-01-03 05:00:00,53666505.08082605,132686159.44096912,3.469289121870598,5813470.396416511,1148857.9112746378,497433160.8089741
2025-01-03 06:00:00,53721371.6184153,132521286.71295567,3.47022763674409,5805626.130909673,1142752.9754959787,496976597.36191195
2025-01-03 07:00:00,53740688.49015365,131497808.5179674,3.470481098989586,5656812.950226849,1138619.4656347472,493561814.46930707
2025-01-03 08:00:00,54034303.431968875,131554345.26656307,3.4679371483444004,5982297.578841781,1139355.3646575904,493940107.59377706
2025-01-03 09:00:00,54304612.108126916,131630975.13632253,3.460778161078257,6221246.34066745,1120542.0833082069,494159863.85325575
2025-01-03 10:00:00,54606282.23232205,133228722.0781824,3.4687304724140278,6226001.537072508,1129513.5394337687,500082058.4232931
2025-01-03 11:00:00,55524627.689972974,133736453.97535114,3.461891739327585,6616653.599516641,1216115.476211236,502382170.29692435
2025-01-03 12:00:00,56648215.866168246,134317729.9168743,3.4502775165270685,7007017.617461363,1257624.0889385077,504937740.53702927
2025-01-03 13:00:00,59244666.81355324,134998664.0407167,3.359638430683319,7141306.040007316,1272383.8773300785,506011721.6861348
2025-01-03 14:00:00,49078762.27387538,101332612.38808082,2.99967065943199,7026456.025585125,1104731.1600610048,374064711.10737836
2025-01-03 15:00:00,51713813.05664652,105502246.61899336,2.7476968768333423,7173569.727097802,1356331.17643846,379097149.07628864
2025-01-03 16:00:00,54520350.169336475,107677550.23316759,2.571051549550749,7968708.6379995365,1650313.6229682013,377038405.47900784
2025-01-03 17:00:00,52768057.638615265,103292001.74542394,2.510621896721605,8021843.40736664,1676009.941505361,357317167.9031679
2025-01-03 18:00:00,52990391.30771174,103844967.89972603,2.5018679638307884,7921632.038016249,1649654.1665538116,357755609.0232624
2025-01-03 19:00:00,53007850.89527161,104203759.211099,2.504808133075287,7772647.491350214,1630208.5830489805,358434075.27819705
2025-01-03 20:00:00,52664775.00449732,103614796.53987451,2.5122181787542126,7603371.321252011,1607837.7949433925,357037164.7079051
2025-01-03 21:00:00,52481327.6956623,103555704.59637913,2.5206069641460536,7384799.843437982,1564668.791911372,357496209.47553456
2025-01-03 22:00:00,52707815.21796335,104415761.91571563,2.535393601005801,7335406.956475912,1527029.3057394656,361100560.1446468
2025-01-03 23:00:00,52326894.57557138,104144520.11380056,2.5483350621584173,7262250.230104149,1486363.485920895,360899886.2456826
2025-01-04 00:00:00,51983395.140888244,103678210.9125569,2.552806138728069,7168476.043659137,1459284.2672396086,359162315.81876504
2025-01-04 01:00:00,51954299.726400286,104006038.62520188,2.5654175070730245,7043645.737541906,1444021.0306353187,360825221.3445535
2025-01-04 02:00:00,52889422.33045452,104510934.51952194,2.5539904850619637,6998564.345985431,1440235.0925110718,362949942.17807734
2025-01-04 03:00:00,53000684.68904332,104126764.67735496,2.5302019349125304,7036848.354945216,1469671.2121857824,360266925.9230521
2025-01-04 04:00:00,52867367.10436574,103914792.10144132,2.5384960313762335,7103930.765715081,1457407.7129627634,359715536.6455235
2025-01-04 05:00:00,53325045.931007326,104804239.9381346,2.545236976077234,7177313.741692632,1474760.76268267,363054179.2246967
2025-01-04 06:00:00,53713857.26251445,105580706.24418269,2.5599794184999083,7233277.312887394,1502137.5393178542,367016049.77854127
2025-01-04 07:00:00,53874927.63746073,106396621.5164015,2.5707175364350734,7344331.655100499,1512597.7300855294,370223794.2073327
2025-01-04 08:00:00,53632332.314549096,106500059.13252658,2.584513948610163,7387363.358381968,1497888.7247223058,371040496.13741887
2025-01-04 09:00:00,53572840.550305545,106816764.10291041,2.5974745163424178,7380043.084583867,1500568.3216300649,372552433.3953254
2025-01-04 10:00:00,53370238.413284056,106397255.10040793,2.601896966698034,7338991.099886223,1504918.2589793457,371444117.9490193
2025-01-04 11:00:00,53433333.526071884,106896688.47291389,2.613925405554791,6271314.002959686,1498025.3123538473,374013358.9920702
2025-01-04 12:00:00,53507122.80105195,107632224.0582432,2.61225396557431,5848788.937857458,1518774.4070262027,375675965.99222696
2025-01-04 13:00:00,51731391.62510775,107200029.72060251,2.6982751034033012,5663256.200333617,1554516.9458922353,376328702.546487
2025-01-04 14:00:00,46583401.896328285,97617047.07480474,2.750055458962147,5420956.809983709,1501743.6256052884,345877908.13887066
2025-01-04 15:00:00,44860722.7864288,87487463.52215593,2.5729506719246578,6020671.892061132,1675314.8442182508,303624053.7097421
2025-01-04 16:00:00,33593035.123457134,61204392.10886327,2.399341784199954,5138425.849089773,1429686.5614841254,206908541.24426275
2025-01-04 17:00:00,33633750.60886711,61233629.72399738,2.403591733173136,5153107.176346223,1427229.3388150563,208091265.6628027
2025-01-04 18:00:00,32649495.928914875,58034781.77349261,2.3626685706767647,5264738.727857038,1445907.9823869697,198213522.6205097
2025-01-04 19:00:00,30827987.606453456,53052979.141241975,2.376690457209926,5151405.611946412,1477352.518179438,186761320.89994073
2025-01-04 20:00:00,30613378.617851127,52581953.21504147,2.3772571324059713,4985091.13852427,1503296.7676306968,185494731.83611137
2025-01-04 21:00:00,30576242.229673486,52581328.44784118,2.3840319700161667,5292399.155437095,1516902.1647414677,185589145.45428517
2025-01-04 22:00:00,30706758.774300463,52760531.46588589,2.3809111952661635,5291206.445963794,1529288.6326099683,186127670.82669243
2025-01-04 23:00:00,30852438.211243656,52973725.406149946,2.387377226792916,5261132.7800675,1547823.6724732604,187104501.1537618
2025-01-05 00:00:00,30683499.0470924,52987595.7980453,2.393439805998589,5250702.329974553,1536999.9947987618,187046316.42077664
2025-01-05 01:00:00,30710632.747600324,53169413.65346206,2.382288825454423,5267230.158157938,1527478.5758066105,187274025.4243959
2025-01-05 02:00:00,29580313.614123087,53628144.56820904,2.485002801938822,5323417.375689854,1528016.7592508413,189059802.58671087
2025-01-05 03:00:00,29365906.441164326,53926888.445570305,2.542779914496499,5360546.977279691,1546798.5991372413,190706582.67622113
2025-01-05 04:00:00,29299009.085761998,53975750.439372085,2.546063975472595,5346432.759426125,1481886.026902629,190914146.4842348
2025-01-05 05:00:00,29213755.870361265,53945749.19076949,2.555083225549043,5224302.626053145,1489632.0193429063,190985778.80627573
2025-01-05 06:00:00,29370815.577432934,54324439.19912905,2.5616839509155587,5150061.224225655,1493760.5828577967,192489742.67168212
2025-01-05 07:00:00,30025683.057042886,55228744.48503879,2.5480424965485695,5123402.324877349,1482680.9021482032,195334385.9933254
2025-01-05 08:00:00,31013930.3802821,57183528.04519675,2.5083306549670157,5251412.797613484,1505651.8664550835,199535103.37917882
2025-01-05 09:00:00,30093469.801092003,54533264.788044155,2.5745896312163707,5218632.999874939,1505594.1634202516,195224199.1417743
2025-01-05 10:00:00,30312698.377774376,54639658.74753644,2.558376748199946,5217234.055302119,1505786.7604314247,195461852.56460238
2025-01-05 11:00:00,30423503.846598193,54995621.34876506,2.566369295721458,5225226.034547122,1521735.8888188482,196845611.01092684
2025-01-05 12:00:00,29523039.11232415,52116392.257405445,2.4436156302227574,5241736.8940178985,1469147.2752794544,183254807.56945676
2025-01-05 13:00:00,29188374.740970485,51112516.399412654,2.4101296094047515,5278642.612490914,1408531.0423898892,178777966.249748
2025-01-05 14:00:00,32500318.46754194,58257238.10977662,2.38150018847616,5668793.860475288,1506085.963812359,196569747.8773196
2025-01-05 15:00:00,24084492.676824227,44477222.218025774,2.5666090878937022,4223827.838498102,899334.9372078708,157892271.6405626
2025-01-05 16:00:00,23814809.7812382,44231598.23405948,2.5852865727535,4269235.241287147,884958.3308103568,157544639.55781168
2025-01-05 17:00:00,23751120.75559798,44085400.801625066,2.5713396834676,4277351.143840271,880240.1410171383,156741881.11002675
2025-01-05 18:00:00,23674776.134918056,44031197.745530814,2.577052349963375,4215949.142377409,881067.314842164,156562901.7327813
2025-01-05 19:00:00,23644781.174891263,44005892.67905163,2.586025210117498,4222223.649438454,877385.6216126139,156665004.74294144
2025-01-05 20:00:00,24168563.917403433,45559236.9891545,2.675052607516674,4484620.245673093,878343.8742510532,164270214.3754704
2025-01-05 21:00:00,24288422.388934813,45638303.64979231,2.652107403390367,4422659.177524942,894955.5871962314,164095030.24450976
2025-01-05 22:00:00,24267259.21947674,45409769.09471551,2.6406910381405715,4527695.571596024,901532.2688136414,162938027.6841418
2025-01-05 23:00:00,24259946.597563982,45686673.388212554,2.660409088130948,4681090.105504349,894308.9158049603,164206516.1730848
2025-01-06 00:00:00,24145201.321926106,45537447.2007698,2.656193538290358,4884534.983234069,859768.3387074918,163449707.9168373
2025-01-06 01:00:00,25027762.617024846,47302813.14359998,2.6970738937673846,5242878.412852503,880079.0379139242,170418484.78369686
2025-01-06 02:00:00,32666413.860587526,65411426.10750117,2.8071700625407394,7239469.307969836,1101749.0815382039,236237887.76239514
2025-01-06 03:00:00,32084874.55136414,63810972.41944785,2.7857911660888592,7161008.644800684,1090019.2338536417,229949605.58312064
2025-01-06 04:00:00,32109597.770688534,63867816.851624586,2.7973399195823125,7379038.385260184,1171020.2650857968,230669159.70170337
2025-01-06 05:00:00,33815053.03297779,69963437.58159551,2.9429652479045934,7274886.129154071,1280151.5140906193,256290517.1805638
2025-01-06 06:00:00,33162560.51727741,68112675.38976637,2.924234885807023,7064690.438198097,1284484.6419667178,249250004.5259068
2025-01-06 07:00:00,32269049.81193124,65887987.74881569,2.885068181206328,7058547.322845158,1280636.1129545835,240050378.12332788
2025-01-06 08:00:00,31968224.746632155,66375205.41907738,2.935795982140264,6711791.273147272,1230903.2640731237,242779457.65322632
2025-01-06 09:00:00,31777199.463868454,66163830.04004268,2.916465020780728,6794158.460740752,1222232.276032493,241190389.3471163
2025-01-06 10:00:00,31311380.19470218,65509914.579707585,2.912803568320634,6656003.453363808,1234225.5285798684,238378810.40736002
2025-01-06 11:00:00,30756814.304554492,63741734.83234583,2.8856979322956655,6690424.561578163,1218049.8811688803,231415595.15647954
2025-01-06 12:00:00,30647261.418915045,63243537.48082603,2.8750317893116977,6665989.630279317,1227455.5494943897,229459403.093638
2025-01-06 13:00:00,30760973.459062606,62610836.70173704,2.8254278412352756,6748913.149051765,1230143.801292381,226169979.63720113
2025-01-06 14:00:00,58131904.07924278,147864157.43112338,3.573796938411687,9099562.666722104,1411344.819902643,555803700.4669068
2025-01-06 15:00:00,72925229.87243426,192771287.5800111,3.6691192290327033,9876332.026300663,1631463.0282491455,725082723.4368854
2025-01-06 16:00:00,78052319.76363277,199879236.26148036,3.5444939316619286,9899188.864491798,1738018.0337879567,750108674.365763
2025-01-06 17:00:00,78244859.13839084,199334714.18457395,3.5155527730608624,9800062.969495215,1740903.8292588363,747350292.3689072
2025-01-06 18:00:00,77693200.5356772,197625033.73147872,3.5118437103935283,9773792.091654602,1717261.8344018834,740897734.6283301
2025-01-06 19:00:00,77513685.84461884,197336150.7115469,3.5174181393618706,9833949.334591696,1680385.2237497906,739979177.4071628
2025-01-06 20:00:00,77620502.84924068,197284722.36409974,3.517546095188925,9765226.320666293,1699255.3493355797,739923119.6614509
2025-01-06 21:00:00,77108670.49523629,196125635.86180973,3.5241135499987095,9594373.5544328,1642543.8450525426,735783134.0302193
2025-01-06 22:00:00,77027826.2374687,196268009.21474123,3.533968759206966,9412721.253294844,1626854.8843807837,736565087.3424578
2025-01-06 23:00:00,77463507.64759804,197321021.68220115,3.5361258570759877,9503043.434898522,1617710.880172593,740617927.6062324
2025-01-07 00:00:00,77284224.56882992,196370108.36102685,3.525715094226913,9535231.87924101,1625454.5998673635,736833852.7051233
2025-01-07 01:00:00,77578518.89946012,197417183.7750733,3.522912692813307,9320522.331570692,1634285.7478919895,740534210.3090484
2025-01-07 02:00:00,76959379.56585546,198522516.32747597,3.55458067977222,7785328.799202321,1613280.0692469622,744848067.9781942
2025-01-07 03:00:00,77132613.1719752,198788590.86167866,3.550349096685136,7455273.858099768,1656412.1205190266,745754891.2590097
2025-01-07 04:00:00,77799555.09534812,200687808.28052264,3.5523573535858715,7550271.460911856,1652090.5105159325,752894871.5652747
2025-01-07 05:00:00,78174944.35844952,201816327.68803313,3.5540548356605277,7721162.704563561,1673813.0734832012,757138657.2740519
2025-01-07 06:00:00,78891162.41507204,203519814.8385325,3.555823310844955,7727375.480278919,2404677.3360364675,763642753.190281
2025-01-07 07:00:00,79252243.26994184,204367476.5549887,3.5498634609654394,7163661.1005969625,2427109.112556341,766630908.4190791
2025-01-07 08:00:00,79864442.47923145,205414646.0653425,3.5515262505463703,6634567.915781619,2435162.3573376397,770835201.0253768
2025-01-07 09:00:00,79850728.15446162,205782914.82452536,3.5635193436257597,6586895.9114552485,2433975.1874225712,772536460.1736529
2025-01-07 10:00:00,79802179.59101866,205559480.28594992,3.56225275373499,6750061.999960053,2421436.1637243535,771695493.5570456
