signal_datetime,chunk,chunk_fraction,start_idx,side,signal_target_qty,abs_target_qty,current_weight,target_weight,delta_weight,portfolio_value,signal_price,ppo_reward,ppo_arrival_price,ppo_filled_qty,ppo_remaining_qty,ppo_fill_ratio,ppo_equity,ppo_agent_total_cost,ppo_benchmark_total_cost,ppo_excess_cost,ppo_taker_fill_qty,ppo_action_trace,twap_reward,twap_arrival_price,twap_filled_qty,twap_remaining_qty,twap_fill_ratio,twap_equity,twap_agent_total_cost,twap_benchmark_total_cost,twap_excess_cost,twap_taker_fill_qty,twap_action_trace
2025-12-18T20:00:00+00:00,2025-12-18_18,0.3333333333333333,14840769,sell,-11.763105201196549,11.763105201196549,0.0,-1.0,-1.0,994674.0600869386,84558.8,36.53999999999942,85230.05,11.763105201196549,0.0,1.0,-590.664542135084,1002999.8683172937,167166.64471954896,0.0,1.1763105201196549,3 3 3 3 3 3 3 3 3 3,36.53999999999942,85230.05,11.763105201196549,0.0,1.0,-590.664542135084,1002999.8683172937,167166.64471954896,0.0,1.1763105201196549,3 3 3 3 3 3 3 3 3 3
2025-12-19T00:00:00+00:00,2025-12-19_00,0.0,2000,buy,11.559423698873552,11.559423698873552,-1.0,0.0,1.0,989173.4082413364,85572.9,-8.019999999992432,85469.95000000001,11.559423698873552,0.0,1.0,-260.2672908778768,988076.0721496023,164679.3453582671,0.0,1.155942369887354,3 3 3 3 3 3 3 3 3 3,-8.019999999992432,85469.95000000001,11.559423698873552,0.0,1.0,-260.2672908778768,988076.0721496023,164679.3453582671,0.0,1.155942369887354,3 3 3 3 3 3 3 3 3 3
2025-12-22T12:00:00+00:00,2025-12-22_12,0.0,2000,sell,-11.318772582212125,11.318772582212125,0.0,-1.0,-1.0,1020627.3062651658,90171.2,30.700000000008735,89917.75,11.318772582212125,0.0,1.0,-485.4586472318042,1018106.0496724783,169684.3416120797,0.0,1.1318772582212124,3 3 3 3 3 3 3 3 3 3,30.700000000008735,89917.75,11.318772582212125,0.0,1.0,-485.4586472318042,1018106.0496724783,169684.3416120797,0.0,1.1318772582212124,3 3 3 3 3 3 3 3 3 3
2025-12-22T16:00:00+00:00,2025-12-22_12,0.6666666666666666,29198808,buy,11.556135931226088,11.556135931226088,-1.0,0.0,1.0,1034371.237386557,89508.4,7.319999999996799,89286.55,11.556135931226088,0.0,1.0,-120.5980549332453,1031722.917715198,171953.81961919967,0.0,1.1556135931226077,3 3 3 3 3 3 3 3 3 3,7.319999999996799,89286.55,11.556135931226088,0.0,1.0,-120.5980549332453,1031722.917715198,171953.81961919967,0.0,1.1556135931226077,3 3 3 3 3 3 3 3 3 3
2025-12-23T00:00:00+00:00,2025-12-23_00,0.0,2000,buy,12.002587842984902,12.002587842984902,0.0,1.0,1.0,1065007.6231898149,88731.5,49.65000000001019,88581.45000000001,12.002587842984902,0.0,1.0,-544.3936951379292,1062610.7063975707,177101.78439959514,0.0,1.200258784298489,3 3 3 3 3 3 3 3 3 3,49.65000000001019,88581.45000000001,12.002587842984902,0.0,1.0,-544.3936951379292,1062610.7063975707,177101.78439959514,0.0,1.200258784298489,3 3 3 3 3 3 3 3 3 3
2025-12-23T04:00:00+00:00,2025-12-23_00,0.6666666666666666,16904585,sell,-12.187370139320436,12.187370139320436,1.0,0.0,-1.0,1071172.3362851518,87892.0,3.720000000002621,88157.05,12.187370139320436,0.0,1.0,-58.64750196551904,1074447.9357574969,179074.6559595828,0.0,1.2187370139320421,3 3 3 3 3 3 3 3 3 3,3.720000000002621,88157.05,12.187370139320436,0.0,1.0,-58.64750196551904,1074447.9357574969,179074.6559595828,0.0,1.2187370139320421,3 3 3 3 3 3 3 3 3 3
2025-12-26T12:00:00+00:00,2025-12-26_12,0.0,2000,buy,13.063705221047842,13.063705221047842,0.0,1.0,1.0,1158092.2423638029,88649.6,-9.169999999998254,88507.55,13.063705221047842,0.0,1.0,26.47563656861894,1156356.3372140299,192726.05620233834,0.0,1.3063705221047837,3 3 3 3 3 3 3 3 3 3,-9.169999999998254,88507.55,13.063705221047842,0.0,1.0,26.47563656861894,1156356.3372140299,192726.05620233834,0.0,1.3063705221047837,3 3 3 3 3 3 3 3 3 3
2025-12-26T16:00:00+00:00,2025-12-26_12,0.6666666666666666,25080505,sell,-13.497155577848154,13.497155577848154,1.0,0.0,-1.0,1171845.992433259,86821.7,13.61999999999971,87152.55,13.497155577848154,0.0,1.0,-17.72492360812612,1176495.3576151605,196082.55960252674,0.0,1.3497155577848154,3 3 3 3 3 3 3 3 3 3,13.61999999999971,87152.55,13.497155577848154,0.0,1.0,-17.72492360812612,1176495.3576151605,196082.55960252674,0.0,1.3497155577848154,3 3 3 3 3 3 3 3 3 3
2025-12-27T04:00:00+00:00,2025-12-27_00,0.6666666666666666,8583020,buy,13.441025954376236,13.441025954376236,0.0,1.0,1.0,1175122.0171392057,87428.0,-0.049999999988358454,87467.95000000001,13.441025954376236,0.0,1.0,-235.80398293281905,1175659.6581773805,195943.27636289675,0.0,1.3441025954376222,3 3 3 3 3 3 3 3 3 3,-0.049999999988358454,87467.95000000001,13.441025954376236,0.0,1.0,-235.80398293281905,1175659.6581773805,195943.27636289675,0.0,1.3441025954376222,3 3 3 3 3 3 3 3 3 3
2025-12-27T08:00:00+00:00,2025-12-27_06,0.3333333333333333,4839955,sell,-13.664217955200773,13.664217955200773,1.0,0.0,-1.0,1196242.1594188248,87545.6,-1.870000000001164,87500.05,13.664217955200773,0.0,1.0,-140.32654462428764,1195594.2022033893,199265.7003672315,0.0,1.3664217955200773,3 3 3 3 3 3 3 3 3 3,-1.870000000001164,87500.05,13.664217955200773,0.0,1.0,-140.32654462428764,1195594.2022033893,199265.7003672315,0.0,1.3664217955200773,3 3 3 3 3 3 3 3 3 3
