datetime,cumret,baseline_nav,execution_adjustment,cum_execution_adjustment,hybrid_nav,hybrid_cumret
2025-12-18 00:00:00+00:00,0.9970906520047186,997090.6520047185,0.0,0.0,997090.6520047185,0.9970906520047186
2025-12-18 01:00:00+00:00,1.001785287330126,1001785.287330126,0.0,0.0,1001785.287330126,1.001785287330126
2025-12-18 02:00:00+00:00,0.9960288658414632,996028.8658414632,0.0,0.0,996028.8658414632,0.9960288658414632
2025-12-18 03:00:00+00:00,0.9959706984463108,995970.6984463108,0.0,0.0,995970.6984463108,0.9959706984463108
2025-12-18 04:00:00+00:00,0.9926598343553402,992659.8343553402,0.0,0.0,992659.8343553402,0.9926598343553402
2025-12-18 05:00:00+00:00,0.991130563764972,991130.563764972,0.0,0.0,991130.563764972,0.991130563764972
2025-12-18 06:00:00+00:00,0.9875398274295528,987539.8274295528,0.0,0.0,987539.8274295528,0.9875398274295528
2025-12-18 07:00:00+00:00,0.982130743456316,982130.7434563161,0.0,0.0,982130.7434563161,0.982130743456316
2025-12-18 08:00:00+00:00,0.9742949498404536,974294.9498404536,0.0,0.0,974294.9498404536,0.9742949498404536
2025-12-18 09:00:00+00:00,0.980472300044236,980472.300044236,0.0,0.0,980472.300044236,0.980472300044236
2025-12-18 10:00:00+00:00,0.9836869633230696,983686.9633230696,0.0,0.0,983686.9633230696,0.9836869633230696
2025-12-18 11:00:00+00:00,0.9796507749840898,979650.7749840898,0.0,0.0,979650.7749840898,0.9796507749840898
2025-12-18 12:00:00+00:00,0.9828863933727272,982886.3933727272,0.0,0.0,982886.3933727272,0.9828863933727272
2025-12-18 13:00:00+00:00,0.9846494541614218,984649.4541614217,0.0,0.0,984649.4541614217,0.9846494541614218
2025-12-18 14:00:00+00:00,0.9875331388707164,987533.1388707163,0.0,0.0,987533.1388707163,0.9875331388707164
2025-12-18 15:00:00+00:00,0.9880797484617376,988079.7484617376,0.0,0.0,988079.7484617376,0.9880797484617376
2025-12-18 16:00:00+00:00,0.982790617711102,982790.617711102,0.0,0.0,982790.617711102,0.982790617711102
2025-12-18 17:00:00+00:00,0.9852708333334677,985270.8333334676,0.0,0.0,985270.8333334676,0.9852708333334675
2025-12-18 18:00:00+00:00,0.9819468860555036,981946.8860555036,0.0,0.0,981946.8860555036,0.9819468860555036
2025-12-18 19:00:00+00:00,0.9892413961779472,989241.3961779472,0.0,0.0,989241.3961779472,0.9892413961779472
2025-12-18 20:00:00+00:00,0.9946740600869386,994674.0600869386,8325.8082303548,8325.8082303548,1002999.8683172934,1.0029998683172934
2025-12-18 21:00:00+00:00,0.9919411686669204,991941.1686669204,0.0,8325.8082303548,1000266.9768972752,1.0002669768972752
2025-12-18 22:00:00+00:00,0.99266913319758,992669.13319758,0.0,8325.8082303548,1000994.9414279348,1.0009949414279349
2025-12-18 23:00:00+00:00,0.990801985270018,990801.985270018,0.0,8325.8082303548,999127.7935003728,0.9991277935003728
2025-12-19 00:00:00+00:00,0.9891734082413364,989173.4082413364,1097.3360917341197,9423.14432208892,998596.5525634253,0.9985965525634253
2025-12-19 01:00:00+00:00,0.9923472034393072,992347.2034393072,0.0,9423.14432208892,1001770.3477613961,1.0017703477613962
2025-12-19 02:00:00+00:00,1.014941454345323,1014941.454345323,0.0,9423.14432208892,1024364.598667412,1.024364598667412
2025-12-19 03:00:00+00:00,1.011964336726568,1011964.336726568,0.0,9423.14432208892,1021387.481048657,1.021387481048657
2025-12-19 04:00:00+00:00,0.9996683777265748,999668.3777265748,0.0,9423.14432208892,1009091.5220486637,1.0090915220486636
2025-12-19 05:00:00+00:00,0.987388532552306,987388.532552306,0.0,9423.14432208892,996811.6768743949,0.9968116768743949
2025-12-19 06:00:00+00:00,0.993523234369998,993523.234369998,0.0,9423.14432208892,1002946.3786920869,1.002946378692087
2025-12-19 07:00:00+00:00,0.9937555862652376,993755.5862652377,0.0,9423.14432208892,1003178.7305873266,1.0031787305873265
2025-12-19 08:00:00+00:00,0.9917690079297684,991769.0079297684,0.0,9423.14432208892,1001192.1522518573,1.0011921522518574
2025-12-19 09:00:00+00:00,0.990296275522526,990296.275522526,0.0,9423.14432208892,999719.4198446149,0.9997194198446149
2025-12-19 10:00:00+00:00,0.99447064098757,994470.6409875699,0.0,9423.14432208892,1003893.7853096589,1.0038937853096588
