datetime,BTC current_weight,BTC target_weight,delta_weight,portfolio_value,price,target_qty,side,abs_target_qty
2025-12-18 20:00:00+00:00,0.0,-1.0,-1.0,994674.0600869386,84558.8,-11.763105201196549,sell,11.763105201196549
2025-12-19 00:00:00+00:00,-1.0,0.0,1.0,989173.4082413364,85572.9,11.559423698873552,buy,11.559423698873552
2025-12-22 12:00:00+00:00,0.0,-1.0,-1.0,1020627.3062651658,90171.2,-11.318772582212125,sell,11.318772582212125
2025-12-22 16:00:00+00:00,-1.0,0.0,1.0,1034371.237386557,89508.4,11.556135931226088,buy,11.556135931226088
2025-12-23 00:00:00+00:00,0.0,1.0,1.0,1065007.6231898149,88731.5,12.002587842984902,buy,12.002587842984902
2025-12-23 04:00:00+00:00,1.0,0.0,-1.0,1071172.3362851518,87892.0,-12.187370139320436,sell,12.187370139320436
2025-12-26 12:00:00+00:00,0.0,1.0,1.0,1158092.2423638029,88649.6,13.063705221047842,buy,13.063705221047842
2025-12-26 16:00:00+00:00,1.0,0.0,-1.0,1171845.992433259,86821.7,-13.497155577848154,sell,13.497155577848154
2025-12-27 04:00:00+00:00,0.0,1.0,1.0,1175122.0171392057,87428.0,13.441025954376236,buy,13.441025954376236
2025-12-27 08:00:00+00:00,1.0,0.0,-1.0,1196242.1594188248,87545.6,-13.664217955200773,sell,13.664217955200773
2025-12-27 12:00:00+00:00,0.0,1.0,1.0,1196707.8426943102,87431.9,13.68731370008327,buy,13.68731370008327
2025-12-27 16:00:00+00:00,1.0,0.0,-1.0,1179412.518217639,87454.1,-13.48607461762958,sell,13.48607461762958
