datetime,side,abs_target_qty,signal_price,ppo_arrival_price,direct_notional,rl_notional,execution_adjustment,cum_execution_adjustment
2025-12-18 20:00:00+00:00,sell,11.763105201196549,84558.8,85230.05,994674.0600869388,1002999.8683172936,8325.8082303548,8325.8082303548
2025-12-19 00:00:00+00:00,buy,11.559423698873552,85572.9,85469.95000000001,989173.4082413365,988076.0721496023,1097.3360917341197,9423.14432208892
2025-12-22 12:00:00+00:00,sell,11.318772582212125,90171.2,89917.75,1020627.3062651659,1018106.0496724783,-2521.2565926875686,6901.887729401351
2025-12-22 16:00:00+00:00,buy,11.556135931226088,89508.4,89286.55,1034371.237386557,1031722.917715198,2648.3196713590296,9550.20740076038
2025-12-23 00:00:00+00:00,buy,12.002587842984902,88731.5,88581.45000000001,1065007.6231898149,1062610.706397571,2396.916792243952,11947.124193004332
2025-12-23 04:00:00+00:00,sell,12.187370139320436,87892.0,88157.05,1071172.3362851518,1074447.9357574969,3275.599472345086,15222.723665349418
2025-12-26 12:00:00+00:00,buy,13.063705221047842,88649.6,88507.55,1158092.2423638029,1156356.33721403,1735.9051497727633,16958.62881512218
2025-12-26 16:00:00+00:00,sell,13.497155577848154,86821.7,87152.55,1171845.992433259,1176495.3576151603,4649.365181901259,21607.99399702344
2025-12-27 04:00:00+00:00,buy,13.441025954376236,87428.0,87467.95000000001,1175122.0171392057,1175659.6581773805,-537.641038174741,21070.3529588487
2025-12-27 08:00:00+00:00,sell,13.664217955200773,87545.6,87500.05,1196242.1594188248,1195594.2022033893,-647.9572154355701,20422.39574341313
2025-12-27 12:00:00+00:00,buy,13.68731370008327,87431.9,87433.65,1196707.8426943102,1196901.928802578,-194.08610826777294,20228.309635145357
2025-12-27 16:00:00+00:00,sell,13.48607461762958,87454.1,87525.45000000001,1179412.518217639,1180374.0753378763,961.5571202372666,21189.866755382624
