factor,mom_24h,mom_6h,funding_z_24,oi_change_24h,taker_imbalance,long_short_ratio_z_24,volume_ratio_24,active_community_count_z_24
mom_24h,1.0,0.4842656884937084,0.182360936211298,0.7580342810565197,0.08131683914393109,-0.12711378151248567,0.00990088347058843,0.03182708548014948
mom_6h,0.4842656884937084,1.0,0.16763266363143736,0.3365673278608773,0.15275427364264002,-0.20528640683507152,-0.02756270770888896,0.011121371723168138
funding_z_24,0.182360936211298,0.16763266363143736,1.0,0.12445928600539394,0.07126186239863003,-0.20624921623301376,-0.027709386394460387,0.007390096831942618
oi_change_24h,0.7580342810565197,0.3365673278608773,0.12445928600539394,1.0,0.0639977130710198,-0.11878159853167213,0.057269803560459534,0.054949766160565794
taker_imbalance,0.08131683914393109,0.15275427364264002,0.07126186239863003,0.0639977130710198,1.0,-0.005214912220853636,-0.028725781972187024,0.007959803018759426
long_short_ratio_z_24,-0.12711378151248567,-0.20528640683507152,-0.20624921623301376,-0.11878159853167213,-0.005214912220853636,1.0,-0.01854750575559066,-0.0007451747065905912
volume_ratio_24,0.00990088347058843,-0.02756270770888896,-0.027709386394460387,0.057269803560459534,-0.028725781972187024,-0.01854750575559066,1.0,-0.021661318256873268
active_community_count_z_24,0.03182708548014948,0.011121371723168138,0.007390096831942618,0.054949766160565794,0.007959803018759426,-0.0007451747065905912,-0.021661318256873268,1.0
