month,n_timestamps,avg_symbols,min_symbols,max_symbols
2025-01,744,19.0,19,19
2025-02,672,19.0,19,19
2025-03,744,19.0,19,19
2025-04,720,19.0,19,19
2025-05,744,19.0,19,19
2025-06,720,19.0,19,19
2025-07,744,19.0,19,19
2025-08,744,19.0,19,19
2025-09,720,19.0,19,19
2025-10,744,19.0,19,19
2025-11,720,19.0,19,19
2025-12,744,19.0,19,19
2026-01,744,19.0,19,19
2026-02,672,19.0,19,19
2026-03,241,19.0,19,19
