datetime,BTC current_weight,BTC target_weight,delta_weight,portfolio_value,price,target_qty
2025-12-18 00:00:00,0.0,0.0,0.0,997090.6520047185,86191.9,0.0
2025-12-18 04:00:00,0.0,0.0,0.0,992659.8343553402,86715.8,0.0
2025-12-18 08:00:00,0.0,0.0,0.0,974294.9498404536,86934.9,0.0
2025-12-18 12:00:00,0.0,0.0,0.0,982886.3933727273,87215.2,0.0
2025-12-18 16:00:00,0.0,0.0,0.0,982790.6177111021,87984.6,0.0
2025-12-18 20:00:00,0.0,-1.0,-1.0,994674.0600869386,84558.8,-11.763105201196547
2025-12-19 00:00:00,-1.0,0.0,1.0,989173.4082413365,85572.9,11.559423698873552
2025-12-19 04:00:00,0.0,0.0,0.0,999668.3777265749,87073.5,0.0
2025-12-19 08:00:00,0.0,0.0,0.0,991769.0079297683,88063.2,0.0
2025-12-19 12:00:00,0.0,0.0,0.0,984469.6080187074,87840.8,0.0
2025-12-19 16:00:00,0.0,0.0,0.0,1002899.0709837726,87956.6,0.0
2025-12-19 20:00:00,0.0,0.0,0.0,990082.3649703001,88064.8,0.0
2025-12-20 00:00:00,0.0,0.0,0.0,979661.5536508822,87967.3,0.0
2025-12-20 04:00:00,0.0,0.0,0.0,993735.352470058,88257.1,0.0
2025-12-20 08:00:00,0.0,0.0,0.0,938734.5149400468,88217.0,0.0
2025-12-20 12:00:00,0.0,0.0,0.0,947525.4181463101,88214.0,0.0
2025-12-20 16:00:00,0.0,0.0,0.0,960356.956007316,88115.3,0.0
2025-12-20 20:00:00,0.0,0.0,0.0,960354.1977718183,88250.4,0.0
2025-12-21 00:00:00,0.0,0.0,0.0,976178.2605368497,88354.8,0.0
2025-12-21 04:00:00,0.0,0.0,0.0,985464.5703513281,88036.4,0.0
2025-12-21 08:00:00,0.0,0.0,0.0,996266.0618524705,88509.0,0.0
2025-12-21 12:00:00,0.0,0.0,0.0,983214.4013823025,88588.6,0.0
2025-12-21 16:00:00,0.0,0.0,0.0,972445.4393069685,88309.8,0.0
2025-12-21 20:00:00,0.0,0.0,0.0,972334.4431796055,88195.6,0.0
2025-12-22 00:00:00,0.0,0.0,0.0,989960.1636702517,88581.7,0.0
2025-12-22 04:00:00,0.0,0.0,0.0,991451.4929545729,88863.5,0.0
2025-12-22 08:00:00,0.0,0.0,0.0,1008221.1406137567,89297.6,0.0
2025-12-22 12:00:00,0.0,-1.0,-1.0,1020627.3062651658,90171.2,-11.318772582212123
2025-12-22 16:00:00,-1.0,0.0,1.0,1034371.237386557,89508.4,11.556135931226088
2025-12-22 20:00:00,0.0,0.0,0.0,1061585.585710036,88305.9,0.0
2025-12-23 00:00:00,0.0,1.0,1.0,1065007.6231898149,88731.5,12.002587842984902
2025-12-23 04:00:00,1.0,0.0,-1.0,1071172.3362851518,87892.0,-12.187370139320436
2025-12-23 08:00:00,0.0,0.0,0.0,1078294.2346334204,87426.8,0.0
2025-12-23 12:00:00,0.0,0.0,0.0,1085080.14338389,87737.3,0.0
2025-12-23 16:00:00,0.0,0.0,0.0,1078794.1156080775,87959.8,0.0
2025-12-23 20:00:00,0.0,0.0,0.0,1100719.1421906082,87674.3,0.0
2025-12-24 00:00:00,0.0,0.0,0.0,1124225.8822212282,87626.1,0.0
2025-12-24 04:00:00,0.0,0.0,0.0,1128516.9745570514,87110.6,0.0
2025-12-24 08:00:00,0.0,0.0,0.0,1134329.1622410414,86751.5,0.0
2025-12-24 12:00:00,0.0,0.0,0.0,1138123.4711322468,87393.1,0.0
2025-12-24 16:00:00,0.0,0.0,0.0,1146665.1753662946,87250.6,0.0
2025-12-24 20:00:00,0.0,0.0,0.0,1138506.005757473,87518.8,0.0
2025-12-25 00:00:00,0.0,0.0,0.0,1132449.5790912423,87529.9,0.0
2025-12-25 04:00:00,0.0,0.0,0.0,1106948.4677317424,87740.6,0.0
2025-12-25 08:00:00,0.0,0.0,0.0,1121738.4975416532,87546.2,0.0
2025-12-25 12:00:00,0.0,0.0,0.0,1109944.7007535056,87533.7,0.0
2025-12-25 16:00:00,0.0,0.0,0.0,1116160.5260416805,88042.0,0.0
2025-12-25 20:00:00,0.0,0.0,0.0,1118191.7496443698,87844.7,0.0
2025-12-26 00:00:00,0.0,0.0,0.0,1148719.0607254978,87084.5,0.0
2025-12-26 04:00:00,0.0,0.0,0.0,1142671.3826279428,88926.0,0.0
2025-12-26 08:00:00,0.0,0.0,0.0,1149927.8933455534,88707.4,0.0
2025-12-26 12:00:00,0.0,1.0,1.0,1158092.2423638029,88649.6,13.063705221047842
2025-12-26 16:00:00,1.0,0.0,-1.0,1171845.992433259,86821.7,-13.497155577848154
2025-12-26 20:00:00,0.0,0.0,0.0,1173469.2940708317,87547.7,0.0
2025-12-27 00:00:00,0.0,0.0,0.0,1169687.617181044,87360.0,0.0
2025-12-27 04:00:00,0.0,1.0,1.0,1175122.0171392055,87428.0,13.441025954376235
2025-12-27 08:00:00,1.0,0.0,-1.0,1196242.1594188248,87545.6,-13.664217955200773
2025-12-27 12:00:00,0.0,1.0,1.0,1196707.8426943102,87431.9,13.68731370008327
2025-12-27 16:00:00,1.0,0.0,-1.0,1179412.518217639,87454.1,-13.48607461762958
2025-12-27 20:00:00,0.0,0.0,0.0,1152528.8574378875,87514.9,0.0
2025-12-28 00:00:00,0.0,0.0,0.0,1149783.6222108756,87811.7,0.0
2025-12-28 04:00:00,0.0,0.0,0.0,1146426.204156837,87683.9,0.0
2025-12-28 08:00:00,0.0,0.0,0.0,1152863.6999196496,87771.0,0.0
2025-12-28 12:00:00,0.0,0.0,0.0,1156946.216083085,87820.4,0.0
2025-12-28 16:00:00,0.0,0.0,0.0,1148503.8432612359,87780.0,0.0
2025-12-28 20:00:00,0.0,0.0,0.0,1148422.708765412,87478.2,0.0
