datetime,1,2,3,4,5
2025-01-01 00:00:00,-0.005410653429351542,-0.011546466273869849,-0.01980561904027182,-0.01167508277426893,-0.013112155252728214
2025-01-01 01:00:00,0.004201772415735244,0.00029410789663295023,-0.0017778672987445916,-0.0016374542472141485,0.013673916472795894
2025-01-01 02:00:00,-0.00443773535349215,-0.003104268064578003,0.0027505594787198273,-0.00111880403084208,0.009836591623230362
2025-01-01 03:00:00,0.0005583679923588936,-0.0030813070776625484,-0.0012596483502398763,0.00488171742363086,-0.002941483838853176
2025-01-01 04:00:00,-0.002848739373695147,-0.0045392313262827555,-0.008918622950517449,-0.004310652414760696,-0.004074784534020742
2025-01-01 05:00:00,-0.004826816851090765,-0.014647941721054047,-0.009775559212469495,-0.01508477412714987,-0.017039109055113882
2025-01-01 06:00:00,-0.005021712258230671,-0.011447273457883683,-0.014545220256544256,-0.01739909920976984,-0.014978966048543402
2025-01-01 07:00:00,-0.0030392195513315734,-0.0027332380511064513,0.0018038072698021896,-0.000822216474414883,0.011318801349841978
2025-01-01 08:00:00,0.0029413518668660044,0.013935328781898737,0.019894095700487318,0.022712136198540234,0.03469435790095127
2025-01-01 09:00:00,0.008011108948231649,0.011593397604087452,0.019972990645212407,0.027327649351041483,0.031693209813029755
2025-01-01 10:00:00,0.008239217055292236,0.019168311401375704,0.01995414414708141,0.024006595654163354,0.028260574190615617
2025-01-01 11:00:00,0.0050015492313462695,0.013773352315401333,0.028870037647593882,0.026777569681821267,0.03530307212547246
2025-01-01 12:00:00,0.00016892915568264555,0.004713955236899076,0.01416897260695138,0.018081354347712297,0.03916683617216987
2025-01-01 13:00:00,0.0012808706477689114,0.005607928190067696,0.015169228573222338,0.023791933975976343,0.031392212387351404
2025-01-01 14:00:00,0.006455127676799233,0.029826639102395747,0.014593596899764508,0.04215765525947868,0.060845038033355114
2025-01-01 15:00:00,0.0014143016305072642,0.011377265880325449,0.022409141676984934,0.038855272293071064,0.04651797736179353
2025-01-01 16:00:00,0.007454415534628889,0.01977041685444686,0.03614354821565913,0.026643365039322686,0.03374053358749596
2025-01-01 17:00:00,0.0055799638419083974,0.023216465237306194,0.020545293903812805,0.028254678696306046,0.04346837356111494
2025-01-01 18:00:00,0.0019962441888861926,0.01080475450872953,0.018636440519049707,0.003875882356589505,0.007033226407181764
2025-01-01 19:00:00,0.0002320131776221146,0.005104119591117562,0.0034106258421725175,0.003894303720172493,-0.00037121894919095455
2025-01-01 20:00:00,0.002529714998166982,0.016543374636057928,0.019926480123865515,0.016897223688761787,0.01967968111516205
2025-01-01 21:00:00,2.611727900952987e-05,0.011058765025477812,0.011189103602515793,0.01718936702053553,0.014341694002981076
2025-01-01 22:00:00,0.004046708465316878,0.017458556824704263,0.015321284773951227,0.017203297912108395,0.016503711177567104
2025-01-01 23:00:00,0.0030601503872435543,0.01598404283076732,0.013004140345302432,0.016081796529124226,0.02115891184770058
2025-01-02 00:00:00,0.007439900733453464,0.01851508955323411,0.010403956395839131,-0.002131519918946584,-0.007121552168790735
2025-01-02 01:00:00,0.007705776719026836,0.006493521893780441,0.017892411473978242,-0.0028616196181086018,-0.007254623367141277
2025-01-02 02:00:00,0.0032454871226293425,-0.0017863501612143118,-0.006843955339497776,0.006102547657994867,-0.012488755811943059
2025-01-02 03:00:00,0.00696460096682705,0.0022641045124111026,0.012876059136351406,0.0074954237089506215,-0.0012767287106893177
2025-01-02 04:00:00,0.004007711373211709,0.001980281050950744,0.0012637239026358122,0.0015328651307267016,0.0018468355387170343
2025-01-02 05:00:00,0.011616049548502483,0.017517052722618887,0.017439500545022746,0.022229208252053545,0.0160986642668815
2025-01-02 06:00:00,0.013403654795201059,0.02597520530041858,0.018719554038217234,0.029535490002629672,0.028104945432994632
2025-01-02 07:00:00,0.012037046600712586,0.017956631407530954,0.01423035189199721,0.021399435318206483,0.014521887823499946
2025-01-02 08:00:00,0.009574349608726884,0.01033878813999356,0.01014477064729887,0.016544009668273574,0.014760464440717158
2025-01-02 09:00:00,0.0009573410603704313,-0.0006000211187998095,-0.007685548199271437,0.0010586391227054848,-0.00010051215093562216
2025-01-02 10:00:00,0.005338230329081706,0.0021432737253770096,-0.00010750478661007239,-0.008122112088770062,-0.0070713227706085124
2025-01-02 11:00:00,-0.005582627709728116,-0.004709240276275506,-0.007855226526257439,-0.014750901208811812,-0.011300123051730393
