timestamp_ns,best_bid,best_ask,mid,spread_bps,imb1,imb5,microdev,ret_1,ret_5,trade_imb,signed_vol,future_return
1766016000295000000,86201.5,86201.6,86201.55,1.160071947729719e-06,0.4870203232497796,0.5025766274430147,2.824890252715847e-07,0.0,0.0,0.0,0.0,-0.00013572841787644292
1766016001294000000,86201.5,86201.6,86201.55,1.160071947729719e-06,0.5594329089176596,0.571765917125117,3.244909394026873e-07,0.0,0.0,1.0,0.10300000000000001,-0.00013572841787644292
1766016002285000000,86201.40000000001,86201.5,86201.45000000001,1.1600732933293911e-06,-0.7865285001743346,-0.7986719813505787,-4.562154573544506e-07,-1.1600719475609064e-06,0.0,-0.8567567567567567,-3.169999999999998,-0.00013456850203802625
1766016003268000000,86189.8,86189.90000000001,86189.85,1.1602294238337896e-06,-0.8123260459802448,-0.8127759809055811,-4.7124238940456995e-07,-0.00013456850203802625,0.0,-0.3078399122807004,-2.2459999999999853,0.0
1766016004245000000,86189.8,86189.90000000001,86189.85,1.1602294238337896e-06,-0.5590551302695371,-0.563445442669375,-3.24316232967289e-07,0.0,0.0,-0.28926080892607964,-2.0739999999999865,-7.54149125448066e-05
1766016005240000000,86189.8,86189.90000000001,86189.85,1.1602294238337896e-06,-0.5492364272899102,-0.5514408530124375,-3.1862026339966517e-07,0.0,-0.00013572841787644292,-0.6682375117813373,-2.1269999999999865,-0.00019491854319276467
1766016006229000000,86189.8,86189.90000000001,86189.85,1.1602294238337896e-06,-0.6965881131594451,-0.7149670201790973,-4.04101097686568e-07,0.0,-0.00013572841787644292,-0.6436241610738243,-1.9179999999999864,-0.0002413277201434149
1766016007205000000,86189.8,86189.90000000001,86189.85,1.1602294238337896e-06,-0.6949525738741894,-0.7115782763041204,-4.031522969802757e-07,0.0,-0.00013456850203802625,-0.673773265651437,-1.9909999999999861,-0.00042696442794601576
1766016008204000000,86189.8,86189.90000000001,86189.85,1.1602294238337896e-06,-0.7992618660668104,-0.8103026777401452,-4.636636572166034e-07,0.0,0.0,-0.5557655954631365,-1.7639999999999874,-0.00035735066252004044
1766016009169000000,86183.3,86183.40000000001,86183.35,1.1603169290335171e-06,-0.8744083281237648,-0.8699979239453853,-5.072954983176544e-07,-7.54149125448066e-05,-7.54149125448066e-05,-0.6127792457362475,-2.550999999999993,-0.00028195701373876636
1766016010163000000,86173.0,86173.1,86173.05,1.16045561815232e-06,0.22840906396997557,0.23593616134802825,1.3252914858420505e-07,-0.00011951264368352947,-0.00019491854319276467,-0.7430025445292612,-1.751999999999986,-0.00016246378653186812
1766016011155000000,86169.0,86169.1,86169.05,1.1605094869424784e-06,-0.3253271675607505,-0.15801979050351234,-1.887727861379656e-07,-4.64182247233909e-05,-0.0002413277201434149,-0.5758166747927815,-1.1809999999999854,-0.00011605094868749278
1766016012152000000,86153.0,86153.1,86153.05,1.1607250121245942e-06,-0.9932716562113595,-0.9977093578241667,-5.764584687977714e-07,-0.00018568151789998845,-0.00042696442794601576,-0.9964333481943829,-6.704999999999978,6.964350072342186e-05
1766016013141000000,86159.0,86159.1,86159.05,1.1606441808007489e-06,0.690788582268643,0.6885953071233426,4.008797387043467e-07,6.964350072342186e-05,-0.00035735066252004044,0.49473684210526864,2.1150000000000126,0.0
1766016014128000000,86159.0,86159.1,86159.05,1.1606441808007489e-06,-0.6892785833923551,-0.7232191501393797,-4.000037420878215e-07,0.0,-0.00028195701373876636,0.4110132158590356,1.866000000000012,0.0
1766016015119000000,86159.0,86159.1,86159.05,1.1606441808007489e-06,-0.25535714825496675,-0.2656331699369471,-1.4818957268232063e-07,0.0,-0.00016246378653186812,0.7198270213602447,5.493000000000011,0.0
1766016016105000000,86159.0,86159.1,86159.05,1.1606441808007489e-06,-0.3756481059384354,-0.38660602515303616,-2.1799707296694636e-07,0.0,-0.00011605094868749278,0.6509932109630407,5.178000000000011,0.0
1766016017104000000,86159.0,86159.1,86159.05,1.1606441808007489e-06,-0.9563502517560015,-0.9542828451743031,-5.549914402178816e-07,0.0,6.964350072342186e-05,0.6954314720812212,6.165000000000011,0.0
1766016018100000000,86159.0,86159.1,86159.05,1.1606441808007489e-06,-0.9658393373419782,-0.9635719697377103,-5.604981701177416e-07,0.0,0.0,0.7021180712032477,6.23200000000001,0.0001880243572787431
1766016019100000000,86159.0,86159.1,86159.05,1.1606441808007489e-06,-0.3244267316901376,-0.34647026101009176,-1.882721985636055e-07,0.0,0.0,0.6751083732603271,5.918000000000011,0.0001880243572787431
1766016020098000000,86159.0,86159.1,86159.05,1.1606441808007489e-06,0.11475964356339725,0.08096636876884075,6.659738687283939e-08,0.0,0.0,0.7001727817867698,6.889000000000008,0.0001949882223632098
1766016021098000000,86159.0,86159.1,86159.05,1.1606441808007489e-06,0.19848197487670627,0.16936671744694048,1.1518328493213843e-07,0.0,0.0,0.6087663891281485,6.361000000000003,0.0001949882223632098
1766016022093000000,86159.0,86159.1,86159.05,1.1606441808007489e-06,0.3220779123263932,0.29295153208211605,1.8690876500533762e-07,0.0,0.0,0.6021911598035533,6.376000000000003,0.0001949882223632098
