factor_name,horizon,n_obs,coverage_mean,ic_mean,ic_std,ic_ir,rank_ic_mean,rank_ic_std,rank_ic_ir,factor_autocorr_mean,top_bottom_mean_ret,top_bottom_std_ret,top_bottom_sharpe_naive,avg_group_turnover
oi_volume_ratio,1,194807,1.0,0.015870214491661577,0.33199819563638344,0.04780211067470805,0.01713372195331448,0.327479616792353,0.052319964586150854,0.8102017194503305,2.6978375024869725e-05,0.005310213182900358,0.005080469293900188,0.6364500306560394
turnover_volatility_24,1,197695,1.0,0.013052965051135316,0.22795173571223454,0.057261968242067134,0.00811099182013307,0.2863669869438146,0.02832376701891314,0.9987029087794904,2.3325840239226342e-05,0.003691462207290105,0.006318861991013293,0.06256238443089654
funding_z_24,1,197695,1.0,0.007387839159527392,0.25868647108374804,0.02855904728433622,0.005868284481412079,0.2536895954591555,0.02313175071594039,0.8873269845702182,8.596785139643114e-05,0.0035235272557487024,0.024398236520456796,0.48118687911761715
long_short_ratio_z_24,1,194598,1.0,0.0004535264213764655,0.2589259657657666,0.0017515679434985277,0.003292157830603224,0.25710777020754644,0.01280458318289204,0.8630597449859748,-5.80436022113397e-06,0.0036073431563460245,-0.0016090402182320585,0.5092676031451543
taker_imbalance,1,197904,1.0,0.002760955044551782,0.2536950536693731,0.010882967580988397,0.0016373096576466802,0.24931937606789845,0.006567117580120271,0.07904103523716319,6.845752945799693e-05,0.003511475498544076,0.01949537437094046,0.8585711999634227
volatility_ratio_6_24,1,197676,1.0,-0.0014796497196270292,0.29559216288348583,-0.00500571363323073,-0.001748256187982199,0.268462689369296,-0.006512101149261728,0.7945534598836101,8.459900933822833e-05,0.004148431514323978,0.020393010955038374,0.5866702370653155
volume_ratio_24,1,197695,1.0,-0.001777821661435756,0.30247131157869134,-0.005877653824922692,-0.0023328748908745885,0.26260496853692034,-0.008883590070146444,0.41255673674987436,9.349817319277291e-05,0.00416596165767493,0.022443359025659377,0.7864022994818843
volume_momentum_6_24,1,197695,1.0,-0.0019838844069968386,0.3009346119464579,-0.006592410205520719,-0.003116969557158664,0.26314505856333714,-0.011845062089192098,0.905267206468399,2.7708562060502334e-05,0.004158008179835462,0.0066639027282853714,0.5024361509309607
close_to_high_24,1,197695,1.0,0.002073406935802105,0.3558311692753336,0.005826940175080407,-0.003491325283833304,0.3341493430686454,-0.01044839786833165,0.9168825647045756,7.362927679028253e-05,0.005168821797866605,0.014244885905416126,0.46895095293019173
active_community_count_z_24,1,164144,1.0,-0.0067369565643029625,0.26778648971450963,-0.025157940460178385,-0.005395136673519251,0.26291837741699203,-0.020520196140348047,0.3751556708074773,7.2876830583667355e-06,0.004034434182374729,0.0018063705409789889,0.7999059502919905
amihud_illiquidity_24,1,197676,1.0,-0.012426797557986478,0.2835971224591555,-0.043818489588985175,-0.014839570900475253,0.3207677580442982,-0.04626266365081381,0.9992919982862057,-6.177882767800764e-05,0.004269553158106968,-0.014469623723089905,0.04497741036239546
oi_change_24h,1,197448,1.0,-0.012459166177662294,0.3220979126144732,-0.03868130059115376,-0.0150499260783327,0.27125900683644827,-0.05548175617759803,0.9620877525464416,-2.4230189132563682e-05,0.004564303988017899,-0.0053086273812751215,0.3989719934408258
ma_gap_24_72,1,197239,1.0,-0.012368674417340254,0.3608020230253132,-0.03428105616923941,-0.0162826656650884,0.32382596388738044,-0.050282149922669175,0.9983216135097821,-8.881154606442728e-05,0.0052514962030121085,-0.016911665288185076,0.11930213781080833
trend_strength_12_48,1,197467,1.0,-0.01728889663986009,0.3705100277349045,-0.04666242569872745,-0.0230828082584137,0.3261109532692285,-0.07078206980458693,0.9954110674228139,-9.953180798702351e-05,0.005072966440133587,-0.01962004068861581,0.17783478133362662
mom_6h,1,197790,1.0,-0.0193608020474719,0.363597403816054,-0.05324791058522903,-0.02326859201629767,0.3186777317187319,-0.07301605885899094,0.7984499652598658,1.619051697736851e-05,0.005278036464290944,0.003067526547768182,0.6295142786995992
price_range,1,197904,1.0,-0.024374653285022203,0.4103070141753565,-0.059405889840687905,-0.025922157851387847,0.38068111946602545,-0.06809415157673251,0.6264150104491591,-3.1671852801054806e-05,0.005892512902133104,-0.005374931429376181,0.7166763596461149
realized_vol_24,1,197448,1.0,-0.02810046213836221,0.42385466008996514,-0.06629740046347835,-0.02927798045480522,0.3996820046738087,-0.07325318656422002,0.9901487414605814,-8.802803412130332e-05,0.006398799155434045,-0.013756961575015275,0.1831171664123257
mom_24h,1,197448,1.0,-0.024669205094738772,0.36800675715958797,-0.06703465252942031,-0.030653727674227874,0.32112302203197807,-0.0954578948596213,0.9448966602206929,-0.00010229619555728659,0.005222924611132707,-0.01958599887114116,0.4444933573467883
atr_like_14,1,197790,1.0,-0.02861287452583773,0.4431399775822492,-0.06456847942693786,-0.03112491061170831,0.419017554623668,-0.07428068411021163,0.991340314694352,-6.788532844250551e-05,0.006555300257026098,-0.01035579237722771,0.22641084409554002
ema_ratio_24,1,197695,1.0,-0.026392173214950722,0.3737264833902432,-0.07061895366757173,-0.03253832911736175,0.3247608296105943,-0.10019166768442107,0.9041304906772248,-3.854324870896049e-05,0.0051923583412653495,-0.00742307178516971,0.5238809249189873
